issue,project,url,estimate,closed,labels,milestone
"As a user, I want to see a list of essays with previews so that I can view recently published analysis.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/402,,2019-10-24 21:02:59+00:00,duplicate,
Design the Analysis landing page ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/401,3.0,2019-10-22 21:41:24+00:00,design,v0.22
Design the card viewer page for all devices,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/400,3.0,2019-10-23 20:53:04+00:00,design,v0.22
Design legends for the overall and singular membership & borrowing data visualizations,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/399,2.0,2019-10-21 14:00:15+00:00,design,v0.22
switch citation format to chicago style,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/397,,2019-10-22 15:17:18+00:00,chore,v0.22
csp policy updates,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/396,,2019-10-22 15:19:11+00:00,chore,v0.22
"As an admin, I want the Works to include separate text fields for Title and Subtitle so that I can include subtitles as well",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/395,,2019-10-14 14:42:35+00:00,,
"As a content editor, I want to add SVG images to content pages so that I can include data visualizations and other scalable images.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/393,1.0,2019-10-11 14:43:35+00:00,,v0.21
"As a user, I want to search on names and titles with or without accents so that I can easily find items people and books with French names or titles.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/390,,2019-12-10 16:00:12+00:00,duplicate,
"As a content admin, I want to view graphs showing an overview of library membership over time so that I can see how card and logbook data compares and so I can download an SVG to include in an essay.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/385,5.0,2019-11-14 18:54:28+00:00,,v0.23
Place 500 error page design to the new grid & add to Zeplin ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/382,1.0,2019-10-07 17:17:07+00:00,design,v0.21
"As a user, I want to see an error page when the site is malfunctioning so that I can report the issue.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/381,1.0,2019-10-10 00:23:37+00:00,,v0.21
"As a user, I want to see an error page when the content I'm looking for isn't found so that I can choose a different path.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/380,1.0,2019-10-10 00:33:02+00:00,,v0.21
Place 404 error page design to the new grid & add to Zeplin ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/379,1.0,2019-10-07 17:15:19+00:00,design,v0.21
Increase the sizes of the title and subtitle text on the homepage for Desktop,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/378,2.0,2019-10-03 13:30:25+00:00,design,v0.21
Design membership dates to reflect membership increments on member search results & biography pages ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/377,2.0,2019-10-24 22:12:03+00:00,design,v0.22
"style changes from ""notes on website design""",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/375,,2019-10-10 01:32:34+00:00,,v0.21
"Design the Sources landing page, Sources & Analysis essay pages, homepage, & all essay text styles ",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/374,3.0,2019-10-02 19:16:09+00:00,design,v0.21
"As data editor, I want to see thumbnails for bibliography and footnote records that have manifests and canvases attached, so I can check against the thumbnail and access the full size images.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/373,3.0,2019-10-04 16:19:06+00:00,,v0.21
"As a content admin, I want to add authors, publication date, and editors for essay pages so I can document the provenance of the content.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/370,2.0,2019-11-18 21:05:19+00:00,,v0.23
"As a content admin, I want to select a featured image for content pages so I can give an idea of the content on the sources landing page and provide a visual preview for social media.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/369,2.0,2019-10-11 21:32:57+00:00,,v0.21
Update sources page text styles,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/368,,2019-10-10 01:46:01+00:00,chore,v0.21
Disable but show menu links for inactive parts of the site,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/367,,2019-10-10 21:50:37+00:00,,v0.21
Make public but incomplete urls login only,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/366,,2019-10-10 13:54:12+00:00,,v0.21
"As a user, when I'm browsing members I want to see membership years that show gaps in activity so that I'm not misled by what appears to be a longer continuous membership.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/365,1.0,2020-05-06 16:34:05+00:00,,v1.0
"As a user, I want to find members based on partial name matches so that I can find all variations of a name.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/363,1.0,2019-12-12 13:59:00+00:00,,v0.24
set up content security policy,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/361,,2019-10-14 14:25:23+00:00,chore,v0.21
set up google analytics,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/360,,2019-10-09 18:02:55+00:00,chore,v0.21
Update to current/newer versions of wagtail and django,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/358,,2020-03-12 17:53:12+00:00,,v0.27
"In admin, borrow counts are occasionally reading falsely after a title search ",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/353,,2019-08-30 15:22:50+00:00,,v0.19
"As an admin, I want items borrow, purchase, and total event counts included in the CSV export so I can analyze books without associated events.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/352,1.0,2019-08-30 15:35:36+00:00,,v0.19
"As an admin, I want to see how many times an item was purchased or is a generic event so that I can investigate zero borrows more easily. ",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/351,1.0,2019-08-30 15:42:59+00:00,,v0.19
"As a data editor, I want to view and edit library items as works and associated editions so that I can have events related to the same item grouped but still document known editions.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/350,8.0,2019-09-07 00:12:16+00:00,,v0.19
Refactor to use default as full precision for partial dates,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/341,,2019-07-02 18:05:29+00:00,chore,
"Revise the ""Borrowing Activities"" and ""Membership Activities"" sections on mobile",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/340,3.0,2019-06-24 15:00:01+00:00,design,v0.18
"As an admin, I want changes made to people and events in the admin interface to automatically update the member search, so that content in the search and admin interface stay in sync.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/339,5.0,2019-11-13 20:21:24+00:00,,v0.23
OCLC search syntax error breaks OCLC reconciliation,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/337,,2019-06-11 21:08:44+00:00,bug,v0.17
"As a content editor, I need to add and edit partial dates for generic events so that I can record whatever portion of the date is available when the exact date is not known.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/336,2.0,2019-07-03 01:38:03+00:00,,v0.18
populate site with test data prior to running pa11y,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/333,,2019-06-06 15:33:44+00:00,chore,v0.17
Prototype filters on mobile to determine spacing and revise the expanded filters,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/330,5.0,2019-06-24 14:54:23+00:00,design,v0.18
Generate book demerge list,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/329,,2019-06-13 16:02:54+00:00,chore,v0.17
Investigate Work URIs in our data to see how reliable they are,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/328,,2019-06-11 20:36:56+00:00,chore,v0.17
"As a user, if I load the members search page with invalid input I want to see the error so I know what’s wrong and can tell when I’ve fixed the problem.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/327,3.0,2019-06-13 17:09:37+00:00,,v0.17
Rename 'sex' to 'gender' project-wide,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/324,,2019-11-12 17:45:53+00:00,,v0.23
Books search form,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/323,,2019-07-03 18:34:40+00:00,chore,v0.18
As a content editor I want to enter public notes for items and people so I can document details to be shown on the public site,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/322,0.0,2019-07-03 23:25:35+00:00,,v0.18
As data editor I want to search for footnote bibliography records by autocomplete so that I can more easily document accounts associated with cards,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/321,0.0,2020-04-08 19:16:22+00:00,,v0.28
Template & styles: detail lists,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/320,,2019-06-13 18:00:30+00:00,chore,
"Revise design of ""Bibliography"" page for Books to reflect the added information",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/319,8.0,2020-03-02 14:24:48+00:00,design,v0.26
"As a user, I want sorting and search on member names to ignore case and work with or without accents so that I can find people more easily.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/316,2.0,2019-12-12 13:56:24+00:00,,v0.24
Make account / card association one to one,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/314,,2019-05-16 18:45:05+00:00,wontfix,
result list styles are broken on books list,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/313,,2019-05-23 19:11:13+00:00,bug,v0.16
Reactivity: range facet,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/312,,2019-05-21 19:32:23+00:00,chore,v0.16
Styles: range facet,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/311,,2019-05-14 15:46:31+00:00,chore,v0.16
Template: range facet,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/310,,2019-05-14 15:46:26+00:00,chore,v0.16
Membership/subscription chart for the entire library,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/309,5.0,2019-08-29 15:49:07+00:00,design,v0.19
Membership timeline for detail page,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/308,3.0,2019-08-29 16:04:17+00:00,design,v0.19
Reactivity: choice facet,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/305,,2019-05-08 20:35:18+00:00,chore,v0.15
Styles: choice facet,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/304,,2019-05-08 20:35:26+00:00,chore,v0.15
Breadcrumb navigation on essay content,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/302,,2019-12-11 14:30:57+00:00,,
Styles: text facet,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/296,2.0,2019-10-21 19:49:33+00:00,chore,v0.22
"As a user, I want the count of members with cards to update as soon as I change search terms or filters so that I can see an accurate number for my current search.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/295,2.0,2019-05-08 23:57:20+00:00,,v0.15
Write view to serve member facet data as json,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/294,1.0,2019-05-02 20:40:24+00:00,chore,v0.15
"As a content editor, I want account id number listed in the person admin list view and person CSV export so that I have more information for decisions about merging people records.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/293,1.0,2019-05-08 22:35:38+00:00,,v0.15
"As a content editor, I want to view and edit item work URI, edition URI, and view subject and genre information so that I can review and correct the information.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/292,2.0,2019-05-17 15:49:11+00:00,,v0.16
"As an admin, I want items updated with matching OCLC work URI, best match edition URI, genre, and subjects so that I can include information from OCLC so users will know more about the books.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/291,8.0,2019-05-23 18:02:03+00:00,,v0.16
"As a user, I want my filter options on the search page to be grouped into collapsible tabs so that I can find relevant filters more quickly.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/287,2.0,2019-10-24 18:28:28+00:00,,v0.22
Member keyword search should sort most relevant items first instead of last,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/285,0.0,2019-04-25 02:09:12+00:00,bug,v0.14
"As an admin, I want to generate a data download for events so that I can deposit and version the data for others to use.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/282,3.0,2020-02-27 20:17:38+00:00,,v0.26
"As a content editor, I want to see the verification status of people in the csv export so that I can make more informed decisions about merging people. ",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/281,0.0,2019-04-19 17:55:41+00:00,duplicate,
flash of unstyled content on page reloads,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/278,,2019-05-09 00:07:06+00:00,bug,
Styles: card filter,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/274,2.0,2019-04-22 03:08:24+00:00,,v0.14
Any person search with a query forces sort to be by relevance,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/273,,2019-04-15 21:02:12+00:00,duplicate,
"As an admin, I want changes made to books, cards, and people in the admin interface to automatically update the public search, so that content in the search and admin interface stay in sync.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/272,,2019-09-16 15:11:15+00:00,duplicate,
"As a user, I want to browse a list of visualizations so that I can see and access what is available.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/270,2.0,2019-10-16 19:21:39+00:00,invalid,
"As a non-sighted user, I want the member timeline visualization available as a textual alternative so I can learn about a member's activity range.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/269,1.0,2019-10-24 20:44:08+00:00,accessibility,v0.22
"As an admin, I want to generate a data download for books so that I can deposit and version the data for others to use.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/266,2.0,2020-04-08 20:34:15+00:00,,v0.28
"As an admin, I want to generate a data download of member information so that I can deposit and version the data for others to use.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/265,3.0,2020-03-11 18:45:40+00:00,,v0.27
"As a user, when I'm viewing a single item I want an easy way to find all card images associated with that item so I can see where it's referenced in the archival materials.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/264,2.0,2020-05-12 16:18:49+00:00,,v1.0
Card image details MVP,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/263,,2019-12-12 19:03:45+00:00,Epic,
Book details - public MVP,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/261,,2020-05-14 19:17:54+00:00,Epic,v1.0
Books search & browse - public MVP,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/260,,2020-04-30 13:57:17+00:00,Epic,v0.29
Member details,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/259,,2019-12-12 16:45:06+00:00,Epic,
Member search & browse MVP,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/258,,2019-12-12 16:43:23+00:00,Epic,
"As a user, I want to view all the content for an individual editorial essay so that I can read analysis and scholarship related to the project.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/255,,2019-11-04 16:57:47+00:00,duplicate,
"As a user, I want to browse a list of published editorial content so that I can see what analytical and scholarly content is available to read.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/254,2.0,2019-11-18 21:15:50+00:00,,v0.23
"As a content editor, I want to be able to add and order multiple authors to an editorial so I can correctly attribute work.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/253,0.0,2019-10-24 20:57:56+00:00,duplicate,
"As a content editor, I want to add new or edit existing editorial content so that I can publish and promote scholarly work related to the project.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/252,1.0,2019-11-18 21:23:35+00:00,,v0.23
"As a user, I want to see a rights statement for card images so that I know what I can do with them.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/250,1.0,2019-12-05 15:57:24+00:00,,v0.24
"As a user, when I'm viewing a single card image I want to navigate to any card images associated with the same member so that I can see all of their borrowing activity in context.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/249,3.0,2020-02-24 17:01:23+00:00,,v0.26
"As a user, I want to see a large version of a single card image with associated events so that I can see the events in the context of the archival source.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/248,3.0,2019-12-09 15:52:44+00:00,,v0.24
"As a user, I want to browse all card images with known events associated with a single member so that I can get an overview of their card activity.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/247,2.0,2019-12-09 02:31:54+00:00,,v0.24
"As a user, I want the card image list page updated as soon as I change search terms, filters, or results page so that I can refine my search without losing my place in the form and have results load more quickly.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/242,1.0,2019-10-24 17:31:18+00:00,,v0.22
"As a user, I want the card image list paginated so that I don't have to browse through all the cards at once.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/238,1.0,2019-10-24 17:19:48+00:00,,v0.22
"As a user, I want to browse a list of card images so that I can see digitized lending cards belonging to library members.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/237,3.0,2019-10-24 18:48:57+00:00,,v0.22
"As an admin, I want library items to have unique identifiers that can be included for use in URLs in the public site.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/236,3.0,2020-04-08 13:29:25+00:00,,v0.28
"As a user, I want to see a chronological list of circulation activity for a single library item so that I can see which library members interacted with it.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/235,3.0,2020-04-30 00:26:34+00:00,,v0.29
"As a user, I want to see bibliographic information (title, publication date, publisher, link to OCLC if available) for an individual library item, so that I can more accurately identify the item.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/234,5.0,2020-04-06 18:59:07+00:00,,v0.28
"As a user, I want the items list page updated as soon as I change search terms, filters, or results page so that I can refine my search without losing my place in the form and have results load more quickly.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/233,1.0,2020-03-17 19:52:40+00:00,,v0.27
"As a user I want items automatically sorted by relevance if I have a keyword search term active and otherwise by title (by default), so that I see best matches first for keyword searches.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/232,1.0,2020-04-30 00:43:43+00:00,,v0.29
"As a user, I want to sort works by title, author, publication date, or borrow count so that I can view and investigate by author, chronologically, or by popularity.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/231,3.0,2020-04-28 20:48:15+00:00,,v0.29
"As a user, I want to filter library items by circulation dates so that I can see items that circulated in the library in a particular time period.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/230,2.0,2020-04-30 00:29:02+00:00,,v0.29
"As a user, I want to search for library items by bibliographic metadata so that I can find specific items I’m interested in.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/226,3.0,2020-03-17 19:51:16+00:00,,v0.27
"As a content editor, I want the card image URLs in footnotes updated to resolve to Figgy after content is migrated so that I can access images in their new location.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/225,5.0,2019-10-08 00:14:03+00:00,,v0.21
"As a content editor, I want to view and edit item format so I can designate item type.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/224,2.0,2019-05-17 15:18:17+00:00,,v0.16
"As a content editor, I want a URL field on library Items so I can add a link to a full-text version.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/223,0.0,2019-07-03 23:23:16+00:00,,v0.18
"As a content editor, I want to merge item records so that I can combine items when I have identified duplicates.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/222,,2019-05-16 19:43:29+00:00,duplicate,
"As an admin, I want to see a report of OCLC work and edition URI matches for all items so that I can review and determine the criteria for acceptable matches.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/220,8.0,2019-04-24 13:59:45+00:00,,v0.14
"As an admin, I want library members to have unique identifiers that can be included for use in URLs in the public site.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/219,2.0,2019-11-14 18:55:07+00:00,,v0.23
"As a user, I want to sort an individual’s activity lists by title, author, publication date, or status so that I can investigate different aspects of their account activity.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/218,,2019-12-16 17:05:48+00:00,,
"As a user, I want to see a chronological list of membership activities for a single library member so that I can see the complete subscription activity for that person.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/217,3.0,2019-09-21 19:09:48+00:00,,v0.20
"As a user, I want to see a chronological list of book-related activities for a single library member so that I can see the complete history of book interactions for that person.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/216,3.0,2019-12-10 17:31:45+00:00,,v0.24
Revise Headers for 2nd & 3rd level pages ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/215,2.0,2019-04-10 16:00:15+00:00,design,v0.13
Reconfigure JS build pipeline,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/212,2.0,2019-04-02 16:10:03+00:00,chore,v0.12
Template & styles: pagination & sorting,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/211,2.0,2019-04-22 17:09:31+00:00,,v0.14
Expanded Members & Books filters – Mobile,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/210,3.0,2019-04-10 20:35:03+00:00,design,v0.13
Books events tab design – Mobile ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/209,1.0,2019-05-09 21:46:22+00:00,design,v0.15
Members events tab design – Mobile ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/208,5.0,2019-04-25 20:46:19+00:00,design,v0.14
Revision – Member events tab design,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/207,3.0,2019-04-10 16:01:03+00:00,design,v0.13
Revision – Member addresses map on member detail page,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/206,1.0,2019-04-08 14:23:44+00:00,design,v0.13
Revision – Book events tab design ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/205,2.0,2019-04-08 14:21:22+00:00,design,v0.13
Revision – Book detail page design ,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/204,1.0,2019-04-08 14:23:36+00:00,design,v0.13
"As a user, I want to see a visualization of a person’s library membership timeline so that I can get an overview of when and how they interacted with the library.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/202,5.0,2019-10-22 16:47:35+00:00,,v0.22
"As a user I want members automatically sorted by relevance if I have a keyword search term active and otherwise by member name, so that I see best matches first for keyword searches.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/200,1.0,2019-04-16 18:50:39+00:00,,v0.14
"As a user, I want to filter library members to those with a lending card available on the site so that I can focus on members with cards and borrowing activity.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/199,2.0,2019-04-16 18:13:12+00:00,,v0.14
"As a user, I want to filter library members by gender so that I can see the gender composition of library members.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/198,3.0,2019-05-09 19:03:14+00:00,,v0.15
"As a user, I want to filter library members by birth year so that I can do generational comparison, such as looking at just members from the Lost Generation.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/197,2.0,2019-06-27 21:54:48+00:00,,v0.18
"As a user, I want to filter library members by arrondissement so I can find library members who lived in a particular part of Paris.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/196,2.0,2019-11-15 16:32:34+00:00,,v0.23
"As a user, I want to filter library members by nationality so that I can find all library members from a particular country.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/195,2.0,2019-10-23 14:34:01+00:00,,v0.22
"As a user, I want to filter library members by membership dates so that I can see who was active in the library in a particular time period.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/192,8.0,2019-06-13 17:11:10+00:00,,v0.17
"As a user, I want the books list paginated so that I don't have to browse through all the titles at once.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/191,1.0,2019-04-02 00:11:34+00:00,,v0.12
"As a user, I want to view and navigate by breadcrumbs so I know where I am in the site hierarchy and can navigate to pages above the one I'm on.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/188,3.0,2019-05-23 20:39:30+00:00,,v0.16
"As a user, I want to see and toggle my active search filters so that I can see how they affect my search.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/187,8.0,2020-05-14 15:37:44+00:00,,v1.0
Books list: results template & styles,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/186,2.0,2019-04-04 18:13:43+00:00,,v0.13
Book events tab design,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/185,3.0,2019-04-01 15:46:31+00:00,design,v0.12
Member events tab design,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/184,5.0,2019-04-01 15:46:55+00:00,design,v0.12
Book detail page design,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/183,2.0,2019-04-01 15:47:06+00:00,design,v0.12
" As a user, I want to browse a list of books so that I can see all the books known to have circulated through the library.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/182,3.0,2019-03-22 20:09:40+00:00,,v0.12
Investigate reconciling book data against OCLC APIs (initial investigation),mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/181,2.0,2019-04-01 15:48:17+00:00,chore,v0.12
TypeError on empty index: object of type 'SolrQuerySet' has no len(),mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/179,,2019-12-12 19:52:43+00:00,,
Members list: results template & styles,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/173,2.0,2019-03-07 22:09:06+00:00,,v0.11
As data editor I want to search for footnote bibliography records by autocomplete so that I can more easily document events from the cards.,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/172,1.0,2019-03-02 21:00:06+00:00,,
"As a content editor, I want to see a list of subscription events for people in the csv export so that I can make more informed decisions about merging people",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/171,1.0,2019-03-02 21:02:32+00:00,,v0.11
Set up correct coverage reports for frontend testing,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/167,1.0,2019-04-02 16:10:10+00:00,chore,v0.12
As data editor I want to document generic events related to books so that I can reflect the idiosyncrasies of non-standard borrowing events.,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/166,2.0,2019-03-03 18:30:51+00:00,,v0.11
Create solr settings for sco with default to edismax + instructions,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/165,,2019-02-25 16:28:49+00:00,,v0.11
Create manage.py command to populate initial content page structure,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/160,2.0,2019-02-14 18:47:52+00:00,,v0.10.0
Template & styles: content pages,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/158,2.0,2019-03-05 19:14:38+00:00,,v0.11
"As a content editor, I want to create and edit content pages on the site so that I can update text on the site when information changes.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/157,3.0,2019-02-15 17:50:01+00:00,,v0.10.0
"As a user, I want the library member list paginated so that I don't have to browse through all the names at once.",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/156,3.0,2019-03-22 20:11:24+00:00,,v0.12
"Finish revising S&Co search results for Members, Books, and Lending Cards sections",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/155,5.0,2019-04-01 15:47:14+00:00,design,v0.12
Set up automated accessibility testing,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/153,,2019-02-07 18:44:34+00:00,accessibility;chore,v0.10.0
"Site main navigation markup, styles & interaction",mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/151,1.0,2019-02-14 21:19:22+00:00,,v0.10.0
Site footer markup & styles,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/150,1.0,2019-02-04 18:34:01+00:00,,v0.10.0
Site header markup & styles,mep-django,https://api.github.com/repos/Princeton-CDH/mep-django/issues/149,1.0,2019-02-04 18:41:49+00:00,,v0.10.0
