issue,project,url,estimate,closed,labels,milestone
"As a user, I want to see which projects were developed by CDH so that I can get a better sense of CDH involvement in the projects.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/114,1.0,2018-08-16 19:57:22+00:00,,August 2018 updates
"As a user, I want to see current, staff, and past projects so I can easily see which projects are active and know more about staff research.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/113,3.0,2018-09-07 15:48:38+00:00,,August 2018 updates
"As a user, I want to easily find project URLs so I can get to the actual websites and see projects that are live.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/112,1.0,2018-08-16 20:10:13+00:00,,August 2018 updates
"As a user, I want to easily find the subscribe link so I know there is a newsletter and how to subscribe to it.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/111,1.0,2018-08-22 18:25:46+00:00,,August 2018 updates
"As a user, I want to easily read and use the main site navigation so I can get to the content that interests me.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/110,3.0,2018-09-05 18:07:27+00:00,,August 2018 updates
"As a user, I want to see upcoming and past speakers at CDH events so I can see what kind of scholars CDH is bringing to campus.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/109,3.0,2018-09-07 18:03:27+00:00,,August 2018 updates
"As a user, I want to see CDH staff, postdocs, and students on separate pages so I can see current and past people associated with CDH grouped by category.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/108,5.0,2018-08-30 17:32:22+00:00,,August 2018 updates
"As a user, I want to see photos and brief details for faculty affiliates and executive committee members so I can see the faces of people associated with CDH.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/107,3.0,2018-09-07 15:22:06+00:00,,August 2018 updates
"As an admin, I want consultation requests to automatically generate an Asana task so we can track requests more efficiently.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/106,0.0,2018-08-24 21:02:09+00:00,,August 2018 updates
images smaller than content width are not centered,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/105,,2018-09-06 18:42:44+00:00,,
home page carousel doesn't respect draft status,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/103,,2018-09-06 19:47:44+00:00,bug,August 2018 updates
HTML entity rendering issues,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/102,,2018-09-06 19:48:35+00:00,bug,August 2018 updates
Home page - dot navigation not working,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/101,,2018-05-03 16:09:48+00:00,bug,
Hard to differentiate bold text ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/100,,2018-09-05 16:35:57+00:00,,
Factor out manager/QuerySet code duplication,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/98,,2018-08-23 21:46:32+00:00,chore,
"As a Content Editor, I want my rich text editor preview to match the way the content will display on the site so that I don't have to check the published version myself.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/95,2.0,2018-04-16 19:47:52+00:00,,
"As a Content Editor, I should only be able to use supported formatting and tags when I edit site content so that the CDH has a uniform web presence.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/94,3.0,2018-04-16 19:55:44+00:00,,
Correctly load all font variants,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/93,,2018-09-05 17:22:49+00:00,,
Update footer for Princeton guidelines,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/92,,2018-09-06 15:53:39+00:00,,
"As a Content Editor, I want to designate blog posts as featured so I can highlight their importance",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/90,2.0,2018-04-16 15:06:57+00:00,,
"As a user, I want to see featured updates on the homepage so I can see what's going on at the CDH.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/89,3.0,2018-04-16 19:53:42+00:00,,
"As a user, I want to see details about CDH alumni so I can learn about their past work at CDH and where they are now.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/88,,2018-03-06 19:12:05+00:00,,
As a user I want to view a list of alumni so I can get learn about people who have worked at the CDH in the past.,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/87,,2018-03-06 19:10:50+00:00,,
"As a user, I want to see past CDH positions on a staff member profile page so I can learn about a person's history with CDH.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/86,,2018-03-06 19:06:43+00:00,,
Staff thumbnail page - alignment and spacing ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/85,,2018-09-05 16:49:32+00:00,,
Event individual page - info display,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/84,,2018-09-05 17:48:45+00:00,,
Project card - text padding,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/83,,2018-09-05 15:14:44+00:00,,
Broken image reference for events with no detail image,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/81,,2018-02-22 20:07:31+00:00,bug,
Card date display for multi-day events,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/80,,2018-09-06 14:42:36+00:00,,
Main nav display issue at some widths when there are several long menu items,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/79,,2018-09-05 18:27:32+00:00,,
Event long title cut off,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/78,,2018-02-23 21:59:53+00:00,,
Event thumbnail image display issue,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/77,,2018-09-05 15:09:26+00:00,,
events with different starting and ending months error on display,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/76,,2018-03-09 16:26:37+00:00,bug,
home page doesn't display any message when there are no upcoming events,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/75,,2018-03-06 18:59:07+00:00,bug,
events page is broken when there are no upcoming events,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/74,,2018-02-22 19:40:28+00:00,bug,
non-CDH address display repeats information,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/73,,2018-02-22 20:28:12+00:00,bug,
adding speakers to events pages without creating a profile,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/72,,2018-02-22 20:23:00+00:00,bug,
rss/atom blog feed doesn't include author,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/71,,2018-09-06 14:41:02+00:00,,
"Typography - require page tile, subtile style",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/70,,2018-09-05 17:17:01+00:00,,
People page - title and name spacing ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/69,,2018-09-05 15:14:11+00:00,,
Project page - excerpt and name style ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/68,,2018-09-05 16:12:04+00:00,,
Plain text page - use the same style as blog post ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/67,,2018-09-05 15:13:08+00:00,,
people with multiple positions are listed multiple times on the staff page,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/66,,2018-02-22 20:17:24+00:00,bug,
Blog - quote and bold typography style ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/65,,2018-09-05 16:31:01+00:00,,
Navigation - rollover status ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/64,,2018-08-28 18:23:58+00:00,,
Resource links on user profile page don't work,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/63,,2017-09-26 21:06:57+00:00,bug,
"As a content editor, I want to associate people with projects more efficiently so I don't have to enter repeating information.",cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/62,,2017-09-26 17:45:31+00:00,,CDH Web 2.0
Navigation - LM - logo size,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/61,,2018-08-28 18:34:39+00:00,,
Navigation - S,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/60,,2018-09-05 15:29:16+00:00,,
Footer - S -spacing and cursor ,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/59,,2018-09-05 16:39:40+00:00,,
Staff card,cdh-web,https://api.github.com/repos/Princeton-CDH/cdh-web/issues/58,,2018-09-05 15:13:01+00:00,,
